,Symbol,GICS Sector
0,MMM,Industrials
1,ABT,Health Care
2,ABBV,Health Care
3,ABMD,Health Care
4,ACN,Information Technology
5,ATVI,Communication Services
6,ADBE,Information Technology
7,AMD,Information Technology
8,AAP,Consumer Discretionary
9,AES,Utilities
10,AFL,Financials
11,A,Health Care
12,APD,Materials
13,AKAM,Information Technology
14,ALK,Industrials
15,ALB,Materials
16,ARE,Real Estate
17,ALXN,Health Care
18,ALGN,Health Care
19,ALLE,Industrials
20,LNT,Utilities
21,ALL,Financials
22,GOOGL,Communication Services
23,GOOG,Communication Services
24,MO,Consumer Staples
25,AMZN,Consumer Discretionary
26,AMCR,Materials
27,AEE,Utilities
28,AAL,Industrials
29,AEP,Utilities
30,AXP,Financials
31,AIG,Financials
32,AMT,Real Estate
33,AWK,Utilities
34,AMP,Financials
35,ABC,Health Care
36,AME,Industrials
37,AMGN,Health Care
38,APH,Information Technology
39,ADI,Information Technology
40,ANSS,Information Technology
41,ANTM,Health Care
42,AON,Financials
43,AOS,Industrials
44,APA,Energy
45,AIV,Real Estate
46,AAPL,Information Technology
47,AMAT,Information Technology
48,APTV,Consumer Discretionary
49,ADM,Consumer Staples
50,ANET,Information Technology
51,AJG,Financials
52,AIZ,Financials
53,T,Communication Services
54,ATO,Utilities
55,ADSK,Information Technology
56,ADP,Information Technology
57,AZO,Consumer Discretionary
58,AVB,Real Estate
59,AVY,Materials
60,BKR,Energy
61,BLL,Materials
62,BAC,Financials
63,BK,Financials
64,BAX,Health Care
65,BDX,Health Care
66,BRK.B,Financials
67,BBY,Consumer Discretionary
68,BIO,Health Care
69,BIIB,Health Care
70,BLK,Financials
71,BA,Industrials
72,BKNG,Consumer Discretionary
73,BWA,Consumer Discretionary
74,BXP,Real Estate
75,BSX,Health Care
76,BMY,Health Care
77,AVGO,Information Technology
78,BR,Information Technology
79,BF.B,Consumer Staples
80,CHRW,Industrials
81,COG,Energy
82,CDNS,Information Technology
83,CPB,Consumer Staples
84,COF,Financials
85,CAH,Health Care
86,KMX,Consumer Discretionary
87,CCL,Consumer Discretionary
88,CARR,Industrials
89,CTLT,Health Care
90,CAT,Industrials
91,CBOE,Financials
92,CBRE,Real Estate
93,CDW,Information Technology
94,CE,Materials
95,CNC,Health Care
96,CNP,Utilities
97,CERN,Health Care
98,CF,Materials
99,SCHW,Financials
100,CHTR,Communication Services
101,CVX,Energy
102,CMG,Consumer Discretionary
103,CB,Financials
104,CHD,Consumer Staples
105,CI,Health Care
106,CINF,Financials
107,CTAS,Industrials
108,CSCO,Information Technology
109,C,Financials
110,CFG,Financials
111,CTXS,Information Technology
112,CLX,Consumer Staples
113,CME,Financials
114,CMS,Utilities
115,KO,Consumer Staples
116,CTSH,Information Technology
117,CL,Consumer Staples
118,CMCSA,Communication Services
119,CMA,Financials
120,CAG,Consumer Staples
121,CXO,Energy
122,COP,Energy
123,ED,Utilities
124,STZ,Consumer Staples
125,COO,Health Care
126,CPRT,Industrials
127,GLW,Information Technology
128,CTVA,Materials
129,COST,Consumer Staples
130,CCI,Real Estate
131,CSX,Industrials
132,CMI,Industrials
133,CVS,Health Care
134,DHI,Consumer Discretionary
135,DHR,Health Care
136,DRI,Consumer Discretionary
137,DVA,Health Care
138,DE,Industrials
139,DAL,Industrials
140,XRAY,Health Care
141,DVN,Energy
142,DXCM,Health Care
143,FANG,Energy
144,DLR,Real Estate
145,DFS,Financials
146,DISCA,Communication Services
147,DISCK,Communication Services
148,DISH,Communication Services
149,DG,Consumer Discretionary
150,DLTR,Consumer Discretionary
151,D,Utilities
152,DPZ,Consumer Discretionary
153,DOV,Industrials
154,DOW,Materials
155,DTE,Utilities
156,DUK,Utilities
157,DRE,Real Estate
158,DD,Materials
159,DXC,Information Technology
160,EMN,Materials
161,ETN,Industrials
162,EBAY,Consumer Discretionary
163,ECL,Materials
164,EIX,Utilities
165,EW,Health Care
166,EA,Communication Services
167,EMR,Industrials
168,ETR,Utilities
169,EOG,Energy
170,EFX,Industrials
171,EQIX,Real Estate
172,EQR,Real Estate
173,ESS,Real Estate
174,EL,Consumer Staples
175,ETSY,Consumer Discretionary
176,EVRG,Utilities
177,ES,Utilities
178,RE,Financials
179,EXC,Utilities
180,EXPE,Consumer Discretionary
181,EXPD,Industrials
182,EXR,Real Estate
183,XOM,Energy
184,FFIV,Information Technology
185,FB,Communication Services
186,FAST,Industrials
187,FRT,Real Estate
188,FDX,Industrials
189,FIS,Information Technology
190,FITB,Financials
191,FE,Utilities
192,FRC,Financials
193,FISV,Information Technology
194,FLT,Information Technology
195,FLIR,Information Technology
196,FLS,Industrials
197,FMC,Materials
198,F,Consumer Discretionary
199,FTNT,Information Technology
200,FTV,Industrials
201,FBHS,Industrials
202,FOXA,Communication Services
203,FOX,Communication Services
204,BEN,Financials
205,FCX,Materials
206,GPS,Consumer Discretionary
207,GRMN,Consumer Discretionary
208,IT,Information Technology
209,GD,Industrials
210,GE,Industrials
211,GIS,Consumer Staples
212,GM,Consumer Discretionary
213,GPC,Consumer Discretionary
214,GILD,Health Care
215,GL,Financials
216,GPN,Information Technology
